Features,Sample Size,Mean,Variance,Stats Model MSE,GAN MSE,ABC-GAN MSE,Stats Model MAE,GAN MAE,ABC-GAN MAE,Stats Manhattan Distance,GAN Manhattan Distance,ABC-GAN Manhattan Distance,Stats Model Euclidean Distance,GAN Euclidean Distance,ABC-GAN Euclidean Distance,GAN Model n_epochs,ABC-GAN Model n_epochs
10.0,10.0,1.0,1.0,1.305164204712342e-30,0.05759236814441727,0.010372681715213352,9.159339953157541e-16,0.14259001085162162,0.07651059838533401,9.159339953157541e-15,1.4259001085162162,0.7651059838533402,3.612705640807651e-15,0.7588899044230775,0.32158790175006713,1185,458
10.0,10.0,1.0,0.1,2.1858727089811812e-30,0.040203415930319286,0.0016672323638963265,1.2032042029375134e-15,0.15429482043087484,0.028625458258390427,1.2032042029375134e-14,1.5429482043087484,0.2862545825839043,4.675331762539618e-15,0.6340151454556164,0.12903603596564134,742,606
10.0,100.0,0.0,0.1,2.0055520171492347e-07,0.0004660320595272772,0.00044608156958292225,0.0003560384852008077,0.01808046228494495,0.014851995246261358,0.03560384852008077,1.8080462284944951,1.4851995246261358,0.004478338996937631,0.21562773803367652,0.2111492329051235,842,991
10.0,100.0,0.0,0.01,1.737441979855676e-07,0.00010344071937284894,0.0007108731213233346,0.00031478798065315977,0.00815351394072175,0.020486080702822655,0.03147879806531598,0.815351394072175,2.0486080702822655,0.004168263403212034,0.10155780150452652,0.2666128249201388,440,596
10.0,10.0,1.0,0.01,7.494371192594051e-31,0.007109975105048487,0.04316022863773424,6.925016116099414e-16,0.06774493257701397,0.1713282960176468,6.925016116099414e-15,0.6774493257701397,1.7132829601764679,2.7375849197046017e-15,0.2658917322184234,0.6569328927031018,1085,732
10.0,10.0,0.0,1.0,2.208964609014384e-30,0.018799038477642856,0.027950562162437183,1.27675647831893e-15,0.11574370074868202,0.11649751620590687,1.27675647831893e-14,1.1574370074868203,1.1649751620590687,4.699962349864501e-15,0.43325913173719327,0.5285485157842772,589,337
10.0,10.0,0.0,0.1,9.051100366642254e-31,0.0021743419574666066,0.012251643008302062,8.076872504148014e-16,0.03555747281759977,0.08516661681681871,8.076872504148014e-15,0.3555747281759977,0.8516661681681872,3.008504672863623e-15,0.14729130422414674,0.35000716543029803,1462,777
10.0,10.0,0.0,0.01,6.7363251664832345e-31,0.012249632089131808,0.022349305219198205,6.536438057480609e-16,0.09077402378618717,0.07935542559623718,6.536438057480609e-15,0.9077402378618717,0.7935542559623718,2.595443154161392e-15,0.3497445151388498,0.4727504016039866,765,1007
10.0,100.0,1.0,1.0,2.425125088393323e-07,0.0006867233785070723,4.0323732660352174e-05,0.00040118341075792946,0.01890848532224074,0.004922957545933314,0.040118341075792936,1.890848532224074,0.49229575459333136,0.004924555907280699,0.26196322308313624,0.06349413994024686,487,429
10.0,100.0,1.0,0.1,2.653106135260218e-07,1.3059763272447651e-05,0.0003062420303757592,0.0004143462646783684,0.002715906615341082,0.007958746194541455,0.04143462646783684,0.2715906615341082,0.7958746194541454,0.0051508311322156705,0.03613652378364383,0.173451223402182,1014,452
10.0,100.0,1.0,0.01,2.3050768516570295e-07,0.00016431863410776702,0.0002498432844140907,0.00038323135293422237,0.009392938599847257,0.012978642483623699,0.03832313529342223,0.9392938599847257,1.29786424836237,0.004801121589438274,0.1280092347476649,0.15726638008160854,353,250
10.0,100.0,0.0,1.0,3.14953091949632e-07,3.9713825754001185e-05,0.0003792863117520253,0.0004475444042220275,0.0049658260272070764,0.013870365436635912,0.04475444042220275,0.49658260272070764,1.3870365436635912,0.005612068174475717,0.0630138665154871,0.1926725657166235,381,356
